GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk,g20201103,p20200804,r20200714,s20200707,r20200707,r20200630,s20200623,pp20200310,s20200204,s20200121,s20191105,s20190820,r20190604,r20190521,g20181106,r20180911,p20180807,g20161108,p20160802,pp20160315,g20141104,p20140805,g20121106,p20120807,pp20120207,g20101102,p20100803
29051000006,051,000006,190,2,14,13,21,32,20,46,17,20,5,102,17,71,0,0,163,4,0,0,0,23,163,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,153,68,0,0,0,0,0,45,0,0,0,0,0,0,128,0,78,135,53,78,67,48,115,40,18,86,54
29051000007,051,000007,1073,9,80,79,82,186,180,219,156,68,14,709,102,262,0,0,956,10,0,0,2,105,956,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,855,372,0,0,0,0,0,206,0,0,2,0,0,0,711,0,429,770,337,400,397,313,667,235,74,495,273
29051000008,051,000008,559,5,47,37,56,78,80,112,100,36,8,365,63,131,0,0,470,10,1,4,2,72,470,1,10,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,72,451,247,0,0,0,0,0,135,0,0,1,0,0,0,383,0,244,403,202,212,256,203,349,148,51,296,194
29051000009,051,000009,1626,17,125,188,195,324,240,278,169,61,29,442,525,659,0,0,1103,46,311,10,9,147,1103,310,45,2,3,1,2,2,3,0,1,0,1,0,0,3,1,1,0,0,147,984,412,0,0,0,0,0,331,0,0,1,0,0,0,771,0,421,815,303,410,377,246,704,226,196,452,233
29051000010,051,000010,1665,25,151,112,153,264,257,283,258,115,46,952,232,481,0,0,1359,35,71,16,11,173,1359,70,34,1,5,3,4,4,4,0,0,0,0,0,4,1,0,1,0,0,173,1273,598,0,0,0,0,0,420,1,0,3,0,0,0,1016,0,657,1064,533,600,643,434,967,420,378,741,476
29051000011,051,000011,1595,17,105,84,101,188,211,327,308,170,84,1077,201,317,0,0,1339,29,19,3,14,191,1339,19,29,4,2,0,1,0,1,0,0,0,0,2,0,2,4,0,0,0,191,1306,715,0,0,0,0,0,447,3,0,2,0,0,0,1111,0,748,1176,682,694,782,593,1079,567,507,877,567
29051000016,051,000016,1393,13,140,173,155,235,230,236,140,41,29,242,501,650,0,0,914,35,316,12,6,110,914,315,35,1,5,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,110,742,276,0,0,0,0,0,234,0,0,2,0,0,0,554,0,293,597,224,303,276,175,527,154,135,324,170
29051000032,051,000032,2163,31,182,187,224,350,359,372,332,92,34,1171,388,604,0,0,1757,67,113,28,25,173,1757,113,66,13,6,16,6,4,1,0,0,0,3,0,2,1,0,1,0,0,173,1640,694,0,0,0,0,0,461,0,0,1,0,0,0,1311,0,708,1453,664,773,766,477,1257,460,186,888,490
29051000034,051,000034,561,8,42,19,34,87,91,114,91,56,19,434,54,73,0,0,449,5,0,1,4,102,449,0,5,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,102,481,301,0,0,0,0,0,132,0,0,0,0,0,0,420,0,292,443,252,261,299,240,409,176,78,326,222
29051000035,051,000035,57,0,6,2,2,10,10,10,15,1,1,50,1,6,0,0,50,0,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,51,22,0,0,0,0,0,15,0,0,0,0,0,0,40,0,16,50,23,26,24,16,44,17,8,28,18
29051000036,051,000036,61,1,2,3,6,10,5,11,10,10,3,34,8,19,0,0,48,0,0,1,0,12,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,44,24,0,0,0,0,0,19,0,0,0,0,0,0,36,0,28,34,23,16,19,13,30,15,10,25,15
29051000037,051,000037,822,7,53,61,61,100,114,190,150,73,13,574,71,177,0,0,709,8,0,2,1,102,709,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,633,309,0,0,0,0,0,164,0,0,0,0,0,0,549,0,364,617,285,326,352,280,557,215,50,429,264
29051000038,051,000038,281,4,17,27,25,59,52,45,31,17,4,137,36,108,0,0,255,7,1,1,0,17,255,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,200,84,0,0,0,0,0,62,0,0,0,0,0,0,140,0,87,171,85,99,83,68,143,51,12,94,54
29051000039,051,000039,197,4,20,14,23,39,32,25,27,11,2,105,21,71,0,0,179,1,0,0,0,17,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,148,57,0,0,0,0,0,40,0,0,0,0,0,0,98,0,66,115,43,49,51,46,91,31,5,56,30
29051000040,051,000040,2665,50,212,183,187,416,430,450,452,224,61,1751,335,579,0,0,2277,57,21,16,19,275,2277,21,57,2,2,3,5,5,2,3,0,4,0,0,1,2,0,0,0,0,275,2166,988,0,0,0,0,0,648,0,0,7,0,0,0,1756,0,1049,1893,929,1049,1168,809,1690,645,278,1239,788
